date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2022-04-26,,Costa Rica/ER4: Other Obligations to Date(USAID/BHA),200000,"United States of America, Government of",Government,USA,2022,2022,,,,,,,CRI,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-26,,USAID/BHA,,,,251256,Global report  April 2022,2022-05-05,2022-05-05
2021-04-12,,Provision of protection assistance to children through Children Friendly Space (CFS),1,"Germany, Government of",Government,DEU,2021,2021,,,,International Organization for Migration,UN agency,Coordination and support services,"ABW,ARG,BOL,BRA,CHL,COL,CRI,CUW,DOM,ECU,GUY,MEX,PAN,PER,PRY,TTO,URY",,,VENEZUELA Outflow - Regional Refugees and Migrants,2021,2022,financial,Parked,Traditional aid,incoming,shared,commitment,2021-06-04,2021-04-12,Multiyear,1,EUR,0.853,233092,2986,2021-06-12,2021-06-23
2021-04-12,,Coordination - Regional,43202,"Germany, Government of",Government,DEU,2021,2021,,,,International Organization for Migration,UN agency,Coordination and support services,"ABW,ARG,BOL,BRA,CHL,COL,CRI,CUW,DOM,ECU,GUY,MEX,PAN,PER,PRY,TTO,URY",,,VENEZUELA Outflow - Regional Refugees and Migrants,2022,2022,financial,Standard,Traditional aid,incoming,shared,commitment,2021-06-04,2021-04-12,,36851,EUR,0.853,233094,2986,2021-06-12,2021-06-12
2021-03-25,2021,Regional	Supporting employability and labour market integration of Venezuelans in Latin America	integration,20468,"Canada, Government of",Government,CAN,2021,2021,,,,International Labour Organization,UN agency,,"ABW,ARG,BOL,BRA,CHL,COL,CRI,CUW,DOM,ECU,GUY,MEX,PAN,PRY,TTO",,,VENEZUELA Outflow - Regional Refugees and Migrants,2022,2022,financial,Parked,Traditional aid,incoming,shared,paid,2021-07-09,2021-03-25,,25769,CAD,1.259,250988,RLA/20/02/CAN,2022-04-28,2022-04-28
2021-02-22,2021,Multisector humanitarian response in Central America MC,1577287,"Canada, Government of",Government,CAN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,Multi-sector,"CRI,GTM,MEX,NIC,PAN,SLV",,,,2022,2022,financial,Standard,Traditional aid,incoming,shared,paid,2022-05-11,2021-02-22,,2000000,CAD,1.268,252090,P010188001,2022-05-17,2022-05-17
